Iteration	Cost	Gradient norm	Weight distance
0	3.205329	35.072523	3.013450
1	0.554907	0.643258	2.989591
2	0.062948	0.566978	3.000220
3	0.022392	0.043196	3.003014
4	3.124258	50.750344	3.042092
5	0.105893	0.172164	3.033148
6	1.195383	0.869342	3.005560
7	1.902636	21.154040	3.030189
8	0.088184	0.266195	3.035994
9	0.202495	0.852836	3.045200
10	0.027094	0.539532	3.055955
11	2.090888	13.587329	3.056158
12	0.754441	0.907912	3.025948
13	0.037796	0.607918	3.013116
14	1.757331	9.745472	3.012617
15	0.064439	0.634821	3.023135
16	0.233570	2.071752	2.995724
17	0.019756	0.031580	2.992526
18	0.533988	0.237945	2.982281
19	0.457050	4.600297	3.003305
20	0.800066	2.180611	3.002959
21	0.601274	8.824796	2.944205
22	0.065594	0.366731	2.951745
23	0.106033	0.786059	2.935705
24	0.138616	1.660678	2.912772
25	0.945444	4.063538	2.860739
26	0.392180	2.318374	2.873971
27	0.000548	0.004487	2.874984
28	0.000302	0.001550	2.874373
29	0.369339	1.344312	2.882233
30	0.007457	0.118818	2.876794
31	1.035801	0.888465	2.855852
32	0.410354	5.873561	2.809321
33	0.032656	0.030069	2.811130
34	0.427234	0.635595	2.811263
35	0.189820	2.967221	2.780403
36	1.468317	7.787662	2.782516
37	0.355162	0.584748	2.784186
38	0.088848	0.120984	2.787089
39	0.322591	3.502379	2.807333
40	0.343108	5.484649	2.834117
41	0.001449	0.021372	2.831889
42	0.258819	1.221155	2.841442
43	0.000549	0.010985	2.839863
44	0.324216	8.008074	2.874173
45	0.183258	1.559034	2.887702
46	1.039115	10.250137	2.815776
47	0.019990	0.027714	2.812785
48	0.284979	0.067898	2.806226
49	0.551739	9.809025	2.838591
50	0.161801	0.561597	2.823492
51	0.115692	1.109131	2.805059
52	0.025680	0.403535	2.795018
53	0.192524	0.317367	2.797874
54	0.005136	0.010760	2.799271
55	0.915627	0.696124	2.772317
56	1.195099	11.108202	2.694668
57	0.268528	4.493334	2.656380
58	0.040045	0.540906	2.666514
59	0.210520	0.073733	2.658069
60	0.054844	0.352764	2.665609
61	0.940317	21.638908	2.711906
62	0.461961	4.344992	2.669710
63	0.912794	13.322793	2.699569
64	0.229362	0.059618	2.695072
65	0.167379	1.731527	2.709822
66	0.828505	1.119072	2.697698
67	0.011287	0.166360	2.703316
68	0.768391	3.522006	2.657314
69	0.214854	3.800946	2.623464
70	0.381528	0.610291	2.623338
71	0.880347	3.542321	2.574791
72	0.968536	0.938009	2.552713
73	0.023129	0.181844	2.558402
74	0.667590	4.204088	2.511792
75	0.077731	1.148950	2.525739
76	1.090849	9.853007	2.540756
77	0.957661	21.563742	2.449850
78	0.055700	0.309736	2.440085
79	0.548842	8.494090	2.383115
80	0.782652	9.692220	2.408944
81	0.103642	0.673046	2.393998
82	0.029609	0.670517	2.380956
83	0.068637	0.032524	2.376589
84	1.433884	37.230748	2.431188
85	0.340023	0.123145	2.422556
86	0.649535	0.669161	2.411440
87	0.659245	14.698270	2.339191
88	0.715281	0.592755	2.322689
89	0.141656	0.044687	2.316514
90	0.007557	0.006212	2.315136
91	0.021457	0.319781	2.323002
92	0.572183	2.751837	2.330401
93	0.007833	0.000071	2.330153
94	0.000802	0.003547	2.329253
95	0.024038	0.124433	2.323399
96	0.486768	9.268507	2.266326
97	0.110214	0.112338	2.258580
98	0.273213	1.370542	2.268265
99	0.194516	1.926013	2.242542
100	0.012111	0.083428	2.246563
101	0.017265	0.022632	2.243844
102	0.292671	4.241287	2.266845
103	0.760273	5.419370	2.213678
104	0.074391	0.808705	2.225196
