Iteration	Cost	Gradient norm
Weight distance0	1.659096	33.038849	8.636780
1	0.061855	35.660264	12.830842
2	2.233902	48.361563	18.661422
3	0.471761	67.055401	28.345044
4	0.743808	71.063923	45.481860
5	1.734889	155.807418	74.965699
6	6.328390	2345.692443	268.314589
7	18.043227	4396.993828	547.254363
8	5.201047	4980.950925	1353.841475
9	0.046798	5125.716178	2632.866925
10	6.030975	6075.472372	4572.155230
11	301.267996	3142019.152086	124895.550134
12	17457.336951	10586542061.243731	368168749.826135
13	88922611.832270	265413963686630688.000000	8878664700298273.000000
14	5312025.120731	265568042593051328.000000	38918550535248800.000000
15	105941849730724.578125	376525034850641180681266266112.000000	12590078898963595502479736832.000000
16	2592862031175936141145669632.000000	225571842100794657576210581608641632236713737964618776576.000000	7542505148361636478909783348522435736975707804111208448.000000
17	672097707938423481684802687032793356382306727289159680.000000	15156212532405172408902193740348944120535979847422324639030702738615444459698774632732553945018829542839549952.000000	506782285146351487743242252737778023333129256671741178152583929385375620993036461622293177088075603713720320.000000
18	0.605344	15156212532405172408902193740348944120535979847422324639030702738615444459698774632732553945018829542839549952.000000	2221608254828855199227845944224481710377769128565352626944502614620429362268726336010272734986956302767357952.000000
19	5.662567	15156212532405172408902193740348944120535979847422324639030702738615444459698774632732553945018829542839549952.000000	5148931227103773623838960681913294146599787239146178336354356512961354147754018817300503093553400687154429952.000000
20	333082371742140722830219298603610311193281715085770752.000000	15760708135873463711361198166738335234574437163354233572069001699881692542420815813548987613059312930057617408.000000	9311205466630026970010792653161187611267264924273959526218856875062570633192140029337170831192487702097297408.000000
21	191985388812478948169319345911276272540899616191676416.000000	16738853029069954679479356973006913368578805938017150713120666762734390013461355073873142856043800307806765056.000000	14799504600626035517482369082352370134463851528066730524634089785783966494458979100240494691487871001360859136.000000
22	50759868547635836520306437846480966197779886837334016.000000	16745614064049409930156725537807779941355865358392313416374917829464587188484907461626758610697075183864250368.000000	21627848743061659239126246330696794031214402016540028802939420194213718593537489881030606147634435253214380032.000000
23	1943427014995984708478562316251328549661483206429270953633941626181633628633689302407431492964966604300353536.000000	126725008458659358170621141536313507999615201776661989531202449069850740551176666884289004940111305889207431682717603690869276684527025154113047629688080528055175461950346893853354807824589361999009642979783305691398144.000000	4237337608888673212186342819317630357150869912513963103007558009161780024698225383540879557695428479794645397353731721129415572036149247846205303594616868611958145179914132409389780411962376531926125133632031000887296.000000
24	86519708122166649277264536463132554518709806757467602380652568133000620038187212777861563681614069760.000000	126725008458659397361687626795053003582418412989778825709056710044778430418501071814851935472513270804501902153775281160889994485518394289935643659504677208396946488292566380352363874111604727001043933742943275671617536.000000	18575440551725842243527021366367068495558616249782894461460634273238771332383360359442624400547185908975524510279695711448711456035672980671704637158976276838749839619316103335627882927242776061339388836614185848668160.000000
25	15290857624199009603593421501793576141261046007087383457637904506909473359847247003658127275525175174938105718706189840967211209190539933089863473367560819572122493990920456671585028298517396088234103341911818136190976.000000	inf	inf
26	inf	inf	inf
27	inf	-nan	-nan
28	0.000000	-nan	-nan
