Iteration	Cost	Gradient norm
Weight distance0	1.072114	19.124217	8.223279
1	6.497885	96.833355	8.223259
2	19.682353	1756.409125	8.223090
3	1.159747	3656.859449	8.222757
4	2.616656	3912.496603	8.222377
5	58.117300	24186.539774	8.221733
6	25.479118	55647.384975	8.220458
7	1.114468	49426.114961	8.218960
8	24.756713	177154.653988	8.216707
9	1.701076	209144.019509	8.213935
10	107.375240	274768.063864	8.211521
11	10.377513	748496.295212	8.208292
12	51.073448	1296188.133724	8.203617
13	58.405731	2538608.330048	8.197695
14	2.640480	2079579.334057	8.191545
15	121.430578	3942145.169115	8.185286
16	25.483333	3291169.765708	8.177665
17	6.530541	3345794.361689	8.168554
18	4.879305	3309745.971025	8.159022
19	2.722136	1817946.348630	8.150725
20	1.089909	1300786.095360	8.144197
21	0.504754	1126865.856975	8.138515
22	12.626570	1512961.436047	8.133047
23	43.390222	736945.165612	8.126885
24	0.028633	756057.740682	8.120142
25	3.018689	1469965.121642	8.111490
26	2.743637	1867727.994910	8.100630
27	3.928683	2405800.284740	8.088241
28	31.596742	3357805.984834	8.074350
29	15.794489	4122817.524240	8.059068
30	1.806812	2653532.526044	8.044884
31	2.422656	2710973.183192	8.032144
32	32.893267	3397179.806976	8.020871
33	5.400127	3876936.530699	8.010415
34	4.551454	3736658.338203	7.998914
35	3.284276	5056515.100017	7.984724
36	13.016056	6560014.161386	7.968626
37	55.468055	9738245.857740	7.951398
38	24.582889	11071060.794810	7.931080
39	33.590263	10845981.167880	7.907629
40	8.827909	9300756.358263	7.883386
41	3.305042	9402525.952589	7.859173
42	7.040297	12369393.998317	7.832944
43	72.220191	18600929.461402	7.802750
44	49.602212	26219592.872205	7.769136
45	39.783007	25083772.495293	7.734788
46	74.941830	28172391.738612	7.699735
47	81.721809	23464580.361043	7.666510
48	13.398154	30680960.773150	7.633199
49	2.743123	35244364.057925	7.598188
50	11.008189	46927114.150062	7.561757
51	20.770276	46009778.061623	7.524797
52	1.855781	34960801.325265	7.490329
53	31.514782	30293286.560537	7.459826
54	6.300795	19600037.910910	7.432834
55	16.036781	19117360.895926	7.407454
56	1.347816	22100932.466014	7.381795
57	23.119152	22669450.847199	7.357485
58	30.194499	26926771.305606	7.334218
59	5.290126	30669559.803403	7.310403
60	10.157159	35919928.946594	7.284045
61	37.687031	49999577.192814	7.256272
62	2.754792	51218193.552205	7.230502
63	4.924406	50300121.103182	7.209037
64	8.600897	79308895.790278	7.194210
65	12.688110	88664717.419636	7.185477
66	44.947315	76470895.686407	7.179098
67	191.753369	72691157.076256	7.175693
68	19.340032	82994255.628603	7.175836
69	0.138258	90822031.891190	7.179568
70	22.334797	112800999.461921	7.189212
71	9.247685	129214730.424779	7.204027
72	1.112177	133607670.081574	7.222797
73	0.415674	129262741.041578	7.242892
74	13.610923	134650217.305461	7.263581
75	51.071761	143702281.883553	7.282961
76	18.173339	140237965.896951	7.297449
77	9.838663	146546929.402723	7.309523
78	103.871231	125339714.132284	7.325497
79	6.955808	178581923.166387	7.359876
80	0.079133	201109250.856204	7.411337
81	0.084905	210028479.292694	7.473378
82	3.417492	210637790.222432	7.540312
83	26.142068	217225363.663197	7.607720
84	13.695036	258871271.262390	7.681617
85	1.364891	292167619.003683	7.772500
86	13.097310	275647745.244956	7.874616
87	9.902552	278258670.666270	7.980306
88	4.996451	288929754.088882	8.090478
89	3.355490	323658550.096520	8.211365
90	29.806988	306276879.553114	8.343831
91	20.018158	271849070.131579	8.474100
92	134.127088	220355670.026300	8.599345
93	4.456970	278630588.344467	8.746700
94	0.823222	308057310.181653	8.920805
95	6.536568	334550918.700796	9.118814
96	86.277614	311183276.559062	9.324803
97	3.328055	284192834.749975	9.527728
98	63.909230	247685389.027133	9.717507
99	0.377550	290722937.800712	9.920344
100	20.570028	300895156.319956	10.143223
101	23.540046	259511825.553004	10.353778
102	198.585106	239890009.741587	10.543431
103	1.552591	237673735.995608	10.724173
104	0.485244	264726130.450180	10.922188
105	0.896231	291564112.320249	11.151047
106	19.537599	308607288.769346	11.399006
107	18.480028	292758450.252209	11.649227
108	0.917789	308317246.232756	11.908357
109	0.029424	313269373.570454	12.182007
110	28.135607	288936733.874961	12.435437
111	7.603446	284268771.719826	12.673256
112	82.344049	311031781.573178	12.918595
113	4.078741	307857316.243992	13.182398
114	0.805261	312967878.144348	13.466647
115	0.980954	336951729.663112	13.777639
116	0.617150	356138558.343677	14.116137
117	1.409399	366869591.657932	14.471418
118	2.443503	411363727.402489	14.856758
